167	181	826	47
171	313	2601	75
171	413	2601	81
172	515	2599	80
172	615	2598	76
866	1230	1942	103
366	1454	2300	85
364	1582	2413	86
174	1672	2601	91
175	1783	2602	82
175	1887	2602	81
176	1984	2601	77
174	2085	2600	77
176	2159	2602	109
178	2282	2597	79
179	2386	2699	76
175	2481	2600	79
175	2585	2604	79
112	2685	1066	80
367	2805	2416	78
178	2903	2604	84
178	3006	2604	76
178	3101	2605	84
177	3207	2600	76
179	3305	2605	80
179	3401	2605	91
179	3500	2606	79
179	3600	2607	79
180	3696	2606	86
181	3800	2605	80
182	3899	2606	76
182	3999	2606	80
182	4094	2607	75
183	4190	2606	76
182	4290	2607	81
184	4386	2603	84
